title,author,date,rating,comments
Rhythm of War 🎧,Brandon Sanderson,November 2020,,"The Stormlight Archive #4, currently reading"
Sapiens: A Brief History of Humankind,Yuval Noah Harari,November 2020,,currently reading
The Sandman 🎧,Neil Gaiman,November 2020,U,~50% completed
Unseen Academicals,Terry Pratchett,October - November 2020,5,Discworld #37
The Glass Bead Game 🎧,Hermann Hesse,September - October 2020,U,~50% completed
Making Money,Terry Pratchett,October 2020,5,Discworld #36
Lamb 🎧,Christopher Moore,September 2020,3.5,
Wintersmith,Terry Pratchett,September 2020,4,Discworld #35
Born a Crime 🎧,Trevor Noah,September 2020,4.5,
Uncle Tom's Cabin 🎧,Harriet Beecher Stowe,August 2020,4.5,
Thud!,Terry Pratchett,August 2020,4.5,Discworld #34
The Complete Father Brown,G.K. Chesterton,August 2020,U,~5% completed
Summer Knight 🎧,Jim Butcher,August 2020,U,Dresden Files #4
Going Postal,Terry Pratchett,July - August 2020,5,Discworld #33
The Strange Case of Dr. Jekyll and Mr. Hyde 🎧,Robert Louis Stevenson,July - August 2020,4,
Elantris 🎧,Brandon Sanderson,July 2020,4,
The Sirens of Titan,Kurt Vonnegut,June 2020,4,
Arcanum Unbounded: The Cosmere Collection 🎧,Brandon Sanderson,June - July 2020,4,
A Hat Full of Sky,Terry Pratchett,June 2020,4,Discworld #32
Hyperion 🎧,Dan Simmons,May - June 2020,3.5,
Monstrous Regiment,Terry Pratchett,May - June 2020,4.5,Discworld #31
Grave Peril 🎧,Jim Butcher,May 2020,4,Dresden Files #3
Hiroshima,John Hersey,May 2020,5,
Fool Moon 🎧,Jim Butcher,May 2020,3.5,Dresden Files #2
Ashkalon,André Klein,April - May 2020,,Interactive Fantasy Adventure for German Learners #1-3
Storm Front 🎧,Jim Butcher,May 2020,4,Dresden Files #1
The Rithmatist 🎧,Brandon Sanderson,April 2020,U,"Rithmatist #1, ~30% completed"
The Dispossessed,Ursula K. Le Guin,April 2020,5,
Jonathan Strange & Mr Norrel 🎧,Susanna Clarke,March - April 2020,2,
Baumgartner & Momsen,André Klein,April 2019 - April 2020,,"Detective Stories for German Learners #1-5, read intermittently"
The Wee Free Men,Terry Pratchett,March - April 2020,5,Discworld  #30
Stranger in a Strange Land 🎧,Robert A. Heinlein,March 2020,4,
Night Watch,Terry Pratchett,March 2020,5,Discworld  #29
A Canticle for Leibowitz 🎧,Walter M. Miller Jr.,March 2020,4,
The Amazing Maurice and His Educated Rodents,Terry Pratchett,March 2020,4,Discworld  #28
Flight Behavior 🎧,Barbara Kingsolver,February 2020,3.5,
The Old Man and the Sea,Ernest Hemingway,February 2020,4,
Man's Search for Meaning,Viktor E. Frankl,February 2020,5,second time
The Prince and the Pauper 🎧,Mark Twain,February 2020,4,
The Broken Eye 🎧,Brent Weeks,February 2020,U,"Lightbringer #3, ~40% completed"
Night 🎧,Elie Wiesel,February 2020,5,
The Blinding Knife 🎧,Brent Weeks,Jan - February 2020,4,Lightbringer #2
The Last Hero,Terry Pratchett,January 2020,4,Discworld #27
The Black Prism 🎧,Brent Weeks,January 2020,4,Lightbringer #1
Thief of Time,Terry Pratchett,December 2019 - January 2020,4,Discworld #26
Me Talk Pretty One Day 🎧,David Sedaris,December 2019,U, ~80% completed
A Christmas Carol 🎧,Charles Dickens,December 2019,4.5,
The Varieties of Religous Experience,William James,Nov - December 2019,U, ~25% completed
Norse Mythology 🎧,Neil Gaiman,December 2019,4,
A Connecticut Yankee in King Arthur's Court 🎧,Mark Twain,Nov - December 2019,5,
Stardust 🎧,Neil Gaiman,November 2019,5,
Educated 🎧,Tara Westover,November 2019,3.5,
The Truth,Terry Pratchett,November 2019,4.5,Discworld #25
Warrior of the Altaii 🎧,Robert Jordan,November 2019,3.5,
"The Autobiography of Martin Luther King, Jr.","Martin Luther King Jr., Clayborne Carson (Editor)",Oct - November 2019,5,
The Bands of Mourning 🎧,Brandon Sanderson,October 2019,4,Mistborn #6
Shadows of Self 🎧,Brandon Sanderson,October 2019,4,Mistborn #5
The Alloy of Law 🎧,Brandon Sanderson,October 2019,4.5,Mistborn #4
The Diary of Anne Frank,Anne Frank,October 2019,4.5,
The Fifth Elephant,Terry Pratchett,Sept - October 2019,4,Discworld #24
The Hero of Ages 🎧,Brandon Sanderson,September 2019,4,Mistborn #3
Frankenstein 🎧,Mary Shelley,September 2019,4.5,
How To: Absurd Scientific Advice for Common Real-World Problems,Randall Munroe,September 2019,U,
The Well of Ascension 🎧,Brandon Sanderson,September 2019,4,Mistborn #2
The Final Empire 🎧,Brandon Sanderson,Aug - September 2019,4.5,Mistborn #1
The Graveyard Book 🎧,Neil Gaiman,August 2019,4,
Carpe Jugulum,Terry Pratchett,August 2019,4.5,Discworld #23
The Man Who Was Thursday: A Nightmare,G.K. Chesterton,August 2019,3.5,
Congo 🎧,Michael Crichton,August 2019,4.5
Mythology,Edith Hamilton,August 2019,4,
The Ocean at the End of the Lane 🎧,Neil Gaiman,August 2019,4.5,
The Last Continent,Terry Pratchett,July - August 2019,4,Discworld #22
The Name of the Wind 🎧,Patrick Rothfuss,July 2019,3.5,The Kingkiller Chronicle #1
The World's Religions,Huston Smith,May - July 2019,5,
Jingo,Terry Pratchett,April - May 2019,4.5,Discworld #21
American Gods 🎧,Neil Gaiman,March - April 2019,2, Part audiobook
Zurück in Zürich,André Klein,April 2019,,Dino lernt Deutsch #8
Walzer in Wien,André Klein,March 2019,,Dino lernt Deutsch #7
Siddartha,Hermann Hesse,March 2019,4.5,
Edgedancer,Brandon Sanderson,March 2019,3,The Stormlight Archive #2.5
Good Omens,"Terry Pratchett & Neil Gaiman",March 2019,5,
Dirk Gently's Holistic Detective Agency,Douglas Adams,March 2019,4,
Plötzlich in Palermo,André Klein,Jan - March 2019,,Dino lernt Deutsch #6
Life on the Mississippi,Mark Twain,Sept - March 2019,4,
The Hogfather,Terry Pratchett,Dec - January 2019,5,Discworld #20
The Last Battle,C.S. Lewis,December 2018,4,
Feet of Clay,Terry Pratchett,Nov - December 2018,4,Discworld #19
Ahoi aus Hamburg,André Klein,December 2018,,Dino lernt Deutsch #5
Momente in München 🎧,André Klein,November 2018,,Dino lernt Deutsch #4
Karneval in Köln 🎧,André Klein,October 2018,,Dino lernt Deutsch #3
Ferien in Frankfurt 🎧,André Klein,September 2018,,Dino lernt Deutsch #2
Café in Berlin 🎧,André Klein,September 2018,,Dino lernt Deutsch #1
Neverwhere 🎧,Neil Gaiman,July 2018,5,Part audiobook
The Silver Chair,C.S. Lewis,July 2018,4,
Maskerade,Terry Pratchett,July 2018,4.5,Discworld #18
Oathbringer 🎧,Brandon Sanderson,April - July 2018,5,"The Stormlight Archive #3, part audiobook"
The Voyage of the Dawn Treader,C.S. Lewis,April 2018,4,
Interesting Times,Terry Pratchett,March - April 2018,5,Discworld #17
Prince Caspian,C.S. Lewis,March 2018,4,
The Rise and Fall of the Third Reich,William L. Shirer,September 2017 - March 2018,5,
The Horse and His Boy,C.S. Lewis,February 2018,4,
"The Lion, the Witch and the Wardrobe",C.S. Lewis,January 2018,3.5,
The Magician's Nephew,C.S. Lewis,January 2018,3.5,
Auschwitz: A Doctor's Eyewitness Account,Miklós Nyiszli,September 2017,5,
Soul Music,Terry Pratchett,July - Sep 2017,4,Discworld #16
Men at Arms,Terry Pratchett,June - July 2017,4,Discworld #15
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,April - May 2017,5,
Gulliver's Travels,Jonathan Swift,April - May 2017,3.5,
Lords and Ladies,Terry Pratchett,March - April 2017,3.5,Discworld #14
Small Gods,Terry Pratchett,Feb - March 2017,5,Discworld #13
Witches Abroad,Terry Pratchett,February 2017,5,Discworld #12
Personal Recollections of Joan of Arc,Mark Twain,Nov - Jan 2017,4,
Orthodoxy,G.K. Chesterton,Oct - November 2016,3.5,
Pudd'nhead Wilson,Mark Twain,Sept - October 2016,4,
Reaper Man,Terry Pratchett,Aug - September 2016,4.5,Discworld #11
The Eyre Affair,Jasper Fforde,July - August 2016,U,Lost interest about 1/3 through
Moving Pictures,Terry Pratchett,June - July 2016,3.5,Discworld #10
Eric,Terry Pratchett,May - June 2016,4.5,Discworld #9
11/22/63,Stephen King,March - May 2016,4,
The Poisonwood Bible,Barbara Kingsolver,Jan - March 2016,5,
Guards! Guards!,Terry Pratchett,Dec - January 2016,5,Discworld #8
Pyramids,Terry Pratchett,December 2015,4.5,Discworld #7
Anathem,Neal Stephenson,Nov - December 2015,4.5,
Wyrd Sisters,Terry Pratchett,November 2015,4,Discworld #6
Sphere,Michael Crichton,Oct - November 2015,5,
Sourcery,Terry Pratchett,October 2015,4,Discworld #5
Words of Radiance,Brandon Sanderson,October 2015,5,The Stormlight Archive #2
Mort,Terry Pratchett,Sep - October 2015,5,Discworld #4
The Way of Kings,Brandon Sanderson,September 2015,5,The Stormlight Archive #1
Equal Rites,Terry Pratchett,September 2015,4,Discworld #3
The Light Fantastic,Terry Pratchett,August 2015,4.5,Discworld #2
The Man Who Mistook His Wife for a Hat,Oliver Sacks,"Fall 2014, Aug 2015",4,"read parts of for cognitive psych class, finished later"
The Color of Magic,Terry Pratchett,July - August 2015,5,Discworld #1
The Silmarillion,J.R.R. Tolkien,June - July 2015,4,
Breakfast of Champions,Kurt Vonnegut,June 2015,4,
A Midsummer Night's Dream,William Shakespeare,June 2015,4,
Brave New World,Aldous Huxley,May - June 2015,5,
The Handmaid's Tale,Margaret Atwood,April 2015,4,
The Memoirs of Sherlock Holmes,Arthur Conan Doyle,"Feb 2014, April 2015",4.5,did not read all at once
Harry Potter and the Methods of Rationality,Eliezer Yudkowsky,Jan - March 2015,5,"Fantastic fanfiction, highly recommend"
Cat's Cradle,Kurt Vonnegut,Dec 2014,5,
Surprised by Joy,C.S. Lewis,Fall 2014,4.5,partial autobiography
Hitchhiker's Guide to the Galaxy 🎧,Douglas Adams,Summer 2014,5,"Original radio show, not books"
Oryx and Crake,Margaret Atwood,Spring 2014,4,
Unstuck,Arnie Cole,Feb - April 2014,2.5,
The Hound of the Baskervilles,Arthur Conan Doyle,Feb 2014,5,
The Adventures of Sherlock Holmes,Arthur Conan Doyle,Jan - February 2014,5,
The Sign of Four,Arthur Conan Doyle,Jan - February 2014,5,
A Study in Scarlet,Arthur Conan Doyle,Jan 2014,5,
"Bad Christian, Great Savior",Matt Carter,Jan 2014,4,"written by guys from one of my favorite bands, Emery"
Don't Waste Your Life,John Piper,Winter 2013,3,
